,items,support,ordered_statistics
13,"frozenset({'8 GB', 'Intel Core i3', '10 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'10 inch screen', '750 GB'}), items_add=frozenset({'8 GB', 'Intel Core i3'}), confidence=1.0, lift=33.5), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen'}), items_add=frozenset({'Intel Core i3', '750 GB'}), confidence=1.0, lift=13.4), OrderedStatistic(items_base=frozenset({'Intel Core i3', '750 GB'}), items_add=frozenset({'8 GB', '10 inch screen'}), confidence=0.2, lift=13.4), OrderedStatistic(items_base=frozenset({'8 GB', 'Intel Core i3'}), items_add=frozenset({'10 inch screen', '750 GB'}), confidence=0.5, lift=33.5), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen', '750 GB'}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454), OrderedStatistic(items_base=frozenset({'Intel Core i3', '10 inch screen', '750 GB'}), items_add=frozenset({'8 GB'}), confidence=1.0, lift=5.153846153846153), OrderedStatistic(items_base=frozenset({'8 GB', 'Intel Core i3', '10 inch screen'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'8 GB', 'Intel Core i3', '750 GB'}), items_add=frozenset({'10 inch screen'}), confidence=1.0, lift=4.1875)]"
14,"frozenset({'nan', '8 GB', '10 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'10 inch screen', '750 GB'}), items_add=frozenset({'8 GB', 'nan'}), confidence=1.0, lift=5.153846153846153), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen'}), items_add=frozenset({'750 GB', 'nan'}), confidence=1.0, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'nan', '10 inch screen', '750 GB'}), items_add=frozenset({'8 GB'}), confidence=1.0, lift=5.153846153846153), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen', 'nan'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235)]"
15,"frozenset({'nan', 'Intel Core i3', '10 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'10 inch screen', '750 GB'}), items_add=frozenset({'Intel Core i3', 'nan'}), confidence=1.0, lift=3.0454545454545454), OrderedStatistic(items_base=frozenset({'nan', '10 inch screen', '750 GB'}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
16,"frozenset({'8 GB', 'Intel Core i3', '10 inch screen', 'nan'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen'}), items_add=frozenset({'Intel Core i3', 'nan'}), confidence=1.0, lift=3.0454545454545454), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen', 'nan'}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
17,"frozenset({'320 GB', '12 inch screen', '4 GB', '2 GB '})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'4 GB', '2 GB '}), items_add=frozenset({'320 GB', '12 inch screen'}), confidence=1.0, lift=11.166666666666668), OrderedStatistic(items_base=frozenset({'12 inch screen', '4 GB', '2 GB '}), items_add=frozenset({'320 GB'}), confidence=1.0, lift=3.5263157894736845)]"
18,"frozenset({'320 GB', '12 inch screen', 'Intel Core i3', '2 GB '})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'320 GB', '12 inch screen'}), items_add=frozenset({'Intel Core i3', '2 GB '}), confidence=0.33333333333333337, lift=3.190476190476191), OrderedStatistic(items_base=frozenset({'Intel Core i3', '2 GB '}), items_add=frozenset({'320 GB', '12 inch screen'}), confidence=0.2857142857142857, lift=3.1904761904761907)]"
19,"frozenset({'Intel Core i3', '12 inch screen', '4 GB', '2 GB '})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'4 GB', '2 GB '}), items_add=frozenset({'12 inch screen', 'Intel Core i3'}), confidence=1.0, lift=6.090909090909091), OrderedStatistic(items_base=frozenset({'12 inch screen', '4 GB', '2 GB '}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
20,"frozenset({'Intel Core i3', '12 inch screen', '750 GB', '2 GB '})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'750 GB', '2 GB '}), items_add=frozenset({'12 inch screen', 'Intel Core i3'}), confidence=0.6666666666666667, lift=4.060606060606061), OrderedStatistic(items_base=frozenset({'12 inch screen', '750 GB', '2 GB '}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
21,"frozenset({'Intel Core i7', '12 inch screen', '4 GB', '750 GB'})",0.04477611940298507,"[OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'12 inch screen', '4 GB', '750 GB'}), confidence=0.25, lift=3.35), OrderedStatistic(items_base=frozenset({'12 inch screen', '750 GB'}), items_add=frozenset({'Intel Core i7', '4 GB'}), confidence=0.375, lift=4.1875), OrderedStatistic(items_base=frozenset({'Intel Core i7', '12 inch screen'}), items_add=frozenset({'4 GB', '750 GB'}), confidence=0.42857142857142855, lift=4.1020408163265305), OrderedStatistic(items_base=frozenset({'4 GB', '750 GB'}), items_add=frozenset({'Intel Core i7', '12 inch screen'}), confidence=0.42857142857142855, lift=4.1020408163265305), OrderedStatistic(items_base=frozenset({'Intel Core i7', '4 GB'}), items_add=frozenset({'12 inch screen', '750 GB'}), confidence=0.5, lift=4.1875), OrderedStatistic(items_base=frozenset({'12 inch screen', '4 GB', '750 GB'}), items_add=frozenset({'Intel Core i7'}), confidence=0.6, lift=3.35)]"
22,"frozenset({'Intel Core i7', '8 GB', '12 inch screen', '500 GB'})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'8 GB', '12 inch screen'}), items_add=frozenset({'Intel Core i7', '500 GB'}), confidence=0.33333333333333337, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'Intel Core i7', '12 inch screen'}), items_add=frozenset({'8 GB', '500 GB'}), confidence=0.2857142857142857, lift=3.1904761904761907), OrderedStatistic(items_base=frozenset({'8 GB', '500 GB'}), items_add=frozenset({'Intel Core i7', '12 inch screen'}), confidence=0.33333333333333337, lift=3.190476190476191), OrderedStatistic(items_base=frozenset({'Intel Core i7', '500 GB'}), items_add=frozenset({'8 GB', '12 inch screen'}), confidence=0.5, lift=5.583333333333334)]"
